Name,Address
10.8.0.0_15,10.8.0.0/15
10.8.0.0_16,10.8.0.0/16
10.8.5.0_24,10.8.5.0/24
10.8.8.0_24,10.8.8.0/24
10.8.14.0_26,10.8.14.0/26
10.8.72.0_22,10.8.72.0/22
10.8.128.0_22,10.8.128.0/22
10.145.64.0_18,10.145.64.0/18
10.146.0.0_16,10.146.0.0/16
10.154.73.0_24,10.154.73.0/24
10.154.160.151,10.154.160.151/32
10.172.224.0_19,10.172.224.0/19
1.1.1.1_32,1.1.1.1/32
8.8.8.8_32,8.8.8.8/32

